id_client;nationalite;flag_est_parrain;flag_est_filleul;date_debut_premier_sejour;date_fin_premier_sejour;type_destination_premier_sejour;gamme_premier_sejour;pays_premier_sejour;saison_premier_sejour;canal_reservation_premier_sejour;nb_adultes_premier_sejour;nb_enfants_premier_sejour;date_debut_dernier_sejour;date_fin_dernier_sejour;type_destination_dernier_sejour;gamme_dernier_sejour;pays_dernier_sejour;saison_dernier_sejour;canal_reservation_dernier_sejour;nb_adultes_dernier_sejour;nb_enfants_dernier_sejour;nb_sejours_2021;nb_sejours_2022;nb_sejours_2023;mt_sejours_2021;mt_sejours_2022;mt_sejours_2023;duree_sejours_2021;duree_sejours_2022;duree_sejours_2023;nb_participants_sejours_2021;nb_participants_sejours_2022;nb_participants_sejours_2023;mt_extras_sejours_2021;mt_extras_sejours_2022;mt_extras_sejours_2023;nb_residences_distinctes;duree_sejour_moyen;liste_extras
ID_26623932214970;France;0;0;08/05/2022;15/05/2022;Montagne;3;France;Hiver;Indirect;2;1;08/05/2022;15/05/2022;Montagne;3;France;Hiver;Indirect;2;1;0;1;0;0;2904;0;0;7;0;0;3;0;0;130;0;1;7;Sports
ID_26633932408665;France;0;0;11/06/2021;18/06/2021;Montagne;3;France;Hiver;Agence;2;3;11/06/2021;18/06/2021;Montagne;3;France;Hiver;Agence;2;3;1;0;0;3816;0;0;7;0;0;5;0;0;0;0;0;1;7;
ID_26644032325145;France;0;0;15/07/2021;22/07/2021;Soleil;4;Greece;Eté;Agence;2;;15/07/2021;22/07/2021;Soleil;4;Greece;Eté;Agence;2;;1;0;0;2350;0;0;7;0;0;2;0;0;0;0;0;1;7;
ID_26645432955291;France;0;0;02/10/2022;16/10/2022;Soleil;4;Morocco;Eté;Agence;2;;02/10/2022;16/10/2022;Soleil;4;Morocco;Eté;Agence;2;;0;1;0;0;6143;0;0;14;0;0;2;0;0;903;0;1;14;Boutique|Excursion|Services|Bien-être|Restauration
ID_26665332190205;France;0;0;02/07/2022;09/07/2022;Soleil;4;Turkey;Eté;Indirect;2;4;02/07/2022;09/07/2022;Soleil;4;Turkey;Eté;Indirect;2;4;0;1;0;0;6274;0;0;7;0;0;6;0;0;0;0;1;7;
ID_26669132184458;France;0;0;19/03/2022;24/03/2022;Soleil;3;Morocco;Hiver;Web;1;;13/07/2022;20/07/2022;Soleil;3;Italy;Eté;Web;1;;0;2;0;0;1403;0;0;12;0;0;2;0;0;36;0;2;6;Boutique
ID_26669432321168;France;0;0;02/04/2023;06/04/2023;Soleil;3;Morocco;Hiver;Agence;2;;11/12/2023;16/12/2023;Soleil;4;Morocco;Eté;Agence;1;;0;0;2;0;0;1750;0;0;9;0;0;2;0;0;74;2;5;Bien-être
ID_26670432231015;France;0;0;21/08/2022;28/08/2022;Soleil;3;Turkey;Eté;Agence;1;;21/08/2022;28/08/2022;Soleil;3;Turkey;Eté;Agence;1;;0;1;0;0;1301;0;0;7;0;0;1;0;0;137;0;1;7;Boutique|Bien-être
ID_26672632266003;France;0;0;02/07/2021;16/07/2021;Soleil;3;Turkey;Eté;Agence;1;;02/07/2021;16/07/2021;Soleil;3;Turkey;Eté;Agence;1;;1;0;0;2707;0;0;14;0;0;1;0;0;0;0;0;1;14;
ID_26673232473821;France;0;0;08/04/2022;15/04/2022;Montagne;4;France;Hiver;Agence;1;3;08/04/2022;15/04/2022;Montagne;4;France;Hiver;Agence;1;3;0;1;0;0;6594;0;0;7;0;0;4;0;0;515;0;1;7;Boutique|Bien-être
